parent_channel,date,message_count
achievements,2022-04-02,9
achievements,2022-04-03,2
achievements,2022-04-05,3
achievements,2022-04-06,1
achievements,2022-04-07,5
achievements,2022-04-11,3
achievements,2022-04-12,4
achievements,2022-04-13,9
achievements,2022-04-14,5
achievements,2022-04-15,6
achievements,2022-04-16,30
achievements,2022-04-17,4
achievements,2022-04-18,3
achievements,2022-04-21,2
achievements,2022-04-22,4
achievements,2022-04-23,8
achievements,2022-04-25,4
achievements,2022-05-05,15
achievements,2022-05-07,28
achievements,2022-05-09,1
achievements,2022-05-10,4
achievements,2022-05-11,4
achievements,2022-05-12,3
achievements,2022-05-16,8
achievements,2022-05-17,8
achievements,2022-05-18,8
achievements,2022-05-20,2
achievements,2022-05-21,1
achievements,2022-05-22,4
achievements,2022-05-23,3
achievements,2022-05-24,14
achievements,2022-05-25,2
achievements,2022-05-26,1
achievements,2022-05-29,2
achievements,2022-05-30,5
achievements,2022-06-01,8
achievements,2022-06-02,6
achievements,2022-06-03,4
achievements,2022-06-05,4
achievements,2022-06-06,4
achievements,2022-06-08,2
achievements,2022-06-09,11
achievements,2022-06-10,1
achievements,2022-06-12,1
achievements,2022-06-13,2
achievements,2022-06-14,3
achievements,2022-06-15,1
achievements,2022-06-16,1
achievements,2022-06-22,2
achievements,2022-06-23,10
achievements,2022-06-27,2
achievements,2022-06-28,6
achievements,2022-06-30,3
achievements,2022-07-04,2
achievements,2022-07-06,3
achievements,2022-07-07,1
achievements,2022-07-08,3
achievements,2022-07-17,2
achievements,2022-07-18,1
achievements,2022-07-20,1
achievements,2022-07-23,12
achievements,2022-07-24,7
achievements,2022-07-25,10
achievements,2022-07-26,1
achievements,2022-07-29,1
achievements,2022-07-31,11
achievements,2022-08-01,4
achievements,2022-08-02,1
achievements,2022-08-03,1
achievements,2022-08-04,1
achievements,2022-08-05,11
achievements,2022-08-06,4
achievements,2022-08-07,4
achievements,2022-08-08,1
achievements,2022-08-09,22
achievements,2022-08-10,1
achievements,2022-08-13,4
achievements,2022-08-14,1
achievements,2022-08-15,2
achievements,2022-08-17,2
achievements,2022-08-18,2
achievements,2022-08-20,2
achievements,2022-08-21,21
achievements,2022-08-22,1
achievements,2022-08-24,3
achievements,2022-08-25,10
achievements,2022-08-27,8
achievements,2022-08-28,1
achievements,2022-08-30,4
achievements,2022-09-01,3
achievements,2022-09-05,4
achievements,2022-09-07,9
achievements,2022-09-08,2
achievements,2022-09-09,9
achievements,2022-09-10,5
achievements,2022-09-11,4
achievements,2022-09-13,5
achievements,2022-09-14,3
achievements,2022-09-16,1
achievements,2022-09-17,2
achievements,2022-09-20,7
achievements,2022-09-22,1
achievements,2022-09-24,4
achievements,2022-09-25,1
achievements,2022-09-26,12
achievements,2022-09-27,3
achievements,2022-09-28,5
achievements,2022-09-30,3
achievements,2022-10-01,5
achievements,2022-10-02,2
achievements,2022-10-03,10
achievements,2022-10-06,4
achievements,2022-10-07,2
achievements,2022-10-08,3
achievements,2022-10-09,4
achievements,2022-10-10,9
achievements,2022-10-12,3
achievements,2022-10-15,5
achievements,2022-10-16,8
achievements,2022-10-17,11
achievements,2022-10-18,6
achievements,2022-10-19,6
achievements,2022-10-20,3
achievements,2022-10-21,2
achievements,2022-10-22,3
achievements,2022-10-23,2
achievements,2022-10-26,5
achievements,2022-10-28,3
achievements,2022-10-29,4
achievements,2022-10-30,1
achievements,2022-10-31,12
achievements,2022-11-01,1
achievements,2022-11-02,4
achievements,2022-11-04,3
achievements,2022-11-07,19
achievements,2022-11-08,1
achievements,2022-11-09,7
achievements,2022-11-10,2
achievements,2022-11-12,2
achievements,2022-11-14,1
achievements,2022-11-16,1
achievements,2022-11-17,3
achievements,2022-11-18,2
achievements,2022-11-19,2
achievements,2022-11-20,1
achievements,2022-11-24,6
achievements,2022-11-27,2
achievements,2022-11-28,9
achievements,2022-11-29,11
achievements,2022-12-02,11
achievements,2022-12-04,4
achievements,2022-12-05,5
achievements,2022-12-06,5
achievements,2022-12-07,1
achievements,2022-12-08,10
achievements,2022-12-09,1
achievements,2022-12-12,16
achievements,2022-12-13,23
achievements,2022-12-15,3
achievements,2022-12-17,1
achievements,2022-12-18,12
achievements,2022-12-19,5
achievements,2022-12-20,1
achievements,2022-12-21,6
achievements,2022-12-22,8
achievements,2022-12-23,1
achievements,2022-12-24,6
achievements,2022-12-25,4
achievements,2022-12-27,10
achievements,2022-12-28,6
achievements,2022-12-31,1
achievements,2023-01-02,2
achievements,2023-01-03,10
achievements,2023-01-04,1
achievements,2023-01-05,2
achievements,2023-01-06,6
achievements,2023-01-07,5
achievements,2023-01-08,8
achievements,2023-01-09,4
achievements,2023-01-10,19
achievements,2023-01-11,13
achievements,2023-01-12,1
achievements,2023-01-14,4
achievements,2023-01-15,10
achievements,2023-01-16,6
achievements,2023-01-17,1
achievements,2023-01-18,4
achievements,2023-01-19,5
achievements,2023-01-20,1
achievements,2023-01-21,3
achievements,2023-01-22,6
achievements,2023-01-23,6
achievements,2023-01-24,8
achievements,2023-01-25,1
achievements,2023-01-26,6
achievements,2023-01-28,10
achievements,2023-01-29,7
achievements,2023-01-30,9
achievements,2023-01-31,18
achievements,2023-02-01,9
achievements,2023-02-02,15
achievements,2023-02-03,1
achievements,2023-02-04,2
achievements,2023-02-05,3
achievements,2023-02-06,1
achievements,2023-02-07,4
achievements,2023-02-08,6
achievements,2023-02-09,6
achievements,2023-02-10,3
achievements,2023-02-11,11
achievements,2023-02-12,1
achievements,2023-02-13,9
achievements,2023-02-14,3
achievements,2023-02-15,3
achievements,2023-02-18,10
achievements,2023-02-19,10
achievements,2023-02-20,9
achievements,2023-02-21,1
achievements,2023-02-22,3
achievements,2023-02-23,4
achievements,2023-02-25,3
achievements,2023-02-26,5
achievements,2023-02-27,8
achievements,2023-03-04,2
achievements,2023-03-06,3
achievements,2023-03-07,7
achievements,2023-03-08,4
achievements,2023-03-09,3
achievements,2023-03-11,13
achievements,2023-03-14,5
achievements,2023-03-15,24
achievements,2023-03-16,4
achievements,2023-03-17,12
achievements,2023-03-18,11
achievements,2023-03-19,5
achievements,2023-03-20,12
achievements,2023-03-21,6
achievements,2023-03-22,12
achievements,2023-03-23,10
achievements,2023-03-25,2
achievements,2023-03-26,3
achievements,2023-03-27,1
achievements,2023-03-28,2
achievements,2023-03-29,7
achievements,2023-03-30,1
achievements,2023-03-31,3
achievements,2023-04-01,1
achievements,2023-04-02,1
achievements,2023-04-03,3
achievements,2023-04-04,61
achievements,2023-04-05,1
achievements,2023-04-06,15
achievements,2023-04-08,1
achievements,2023-04-09,6
achievements,2023-04-10,9
achievements,2023-04-11,4
achievements,2023-04-12,4
achievements,2023-04-13,4
achievements,2023-04-14,9
achievements,2023-04-15,15
achievements,2023-04-17,10
achievements,2023-04-18,9
achievements,2023-04-19,1
achievements,2023-04-20,4
achievements,2023-04-21,6
achievements,2023-04-22,9
achievements,2023-04-23,14
achievements,2023-04-24,5
achievements,2023-04-25,5
achievements,2023-04-26,10
achievements,2023-04-28,13
achievements,2023-04-29,7
achievements,2023-04-30,2
achievements,2023-05-01,4
achievements,2023-05-02,5
achievements,2023-05-03,4
achievements,2023-05-05,3
achievements,2023-05-06,5
achievements,2023-05-08,2
achievements,2023-05-09,1
achievements,2023-05-10,4
achievements,2023-05-11,11
achievements,2023-05-12,4
achievements,2023-05-15,1
achievements,2023-05-16,7
achievements,2023-05-17,4
achievements,2023-05-18,8
achievements,2023-05-20,9
achievements,2023-05-21,1
achievements,2023-05-22,1
achievements,2023-05-23,17
achievements,2023-05-24,2
achievements,2023-05-26,11
achievements,2023-05-27,2
achievements,2023-05-30,6
achievements,2023-05-31,9
achievements,2023-06-01,1
achievements,2023-06-02,6
achievements,2023-06-03,3
achievements,2023-06-04,6
achievements,2023-06-05,8
achievements,2023-06-06,10
achievements,2023-06-07,5
achievements,2023-06-08,3
achievements,2023-06-11,7
achievements,2023-06-12,7
achievements,2023-06-13,7
achievements,2023-06-14,3
achievements,2023-06-15,4
achievements,2023-06-16,16
achievements,2023-06-17,8
achievements,2023-06-20,8
achievements,2023-06-21,8
achievements,2023-06-23,3
achievements,2023-06-24,1
achievements,2023-06-25,3
achievements,2023-06-26,14
achievements,2023-06-27,3
achievements,2023-06-28,9
achievements,2023-06-29,4
achievements,2023-06-30,2
achievements,2023-07-01,3
achievements,2023-07-02,1
achievements,2023-07-03,5
achievements,2023-07-04,1
achievements,2023-07-05,2
achievements,2023-07-06,1
achievements,2023-07-08,3
achievements,2023-07-10,1
achievements,2023-07-11,7
achievements,2023-07-12,12
achievements,2023-07-13,3
achievements,2023-07-14,5
achievements,2023-07-15,2
achievements,2023-07-16,6
achievements,2023-07-17,7
achievements,2023-07-18,1
achievements,2023-07-21,4
achievements,2023-07-26,2
achievements,2023-07-27,9
achievements,2023-07-28,6
achievements,2023-07-29,6
achievements,2023-07-30,3
achievements,2023-07-31,4
achievements,2023-08-02,19
achievements,2023-08-05,8
achievements,2023-08-06,4
achievements,2023-08-07,6
achievements,2023-08-09,12
achievements,2023-08-10,6
achievements,2023-08-12,14
achievements,2023-08-13,1
achievements,2023-08-14,4
achievements,2023-08-15,2
achievements,2023-08-16,5
achievements,2023-08-17,2
achievements,2023-08-20,1
achievements,2023-08-21,1
achievements,2023-08-24,2
achievements,2023-08-27,7
achievements,2023-08-29,1
achievements,2023-08-30,6
achievements,2023-08-31,1
achievements,2023-09-01,7
achievements,2023-09-02,3
achievements,2023-09-03,5
achievements,2023-09-04,9
achievements,2023-09-06,3
achievements,2023-09-07,1
achievements,2023-09-08,11
achievements,2023-09-10,5
achievements,2023-09-13,7
achievements,2023-09-14,1
achievements,2023-09-15,5
achievements,2023-09-16,4
achievements,2023-09-17,1
achievements,2023-09-18,1
achievements,2023-09-20,2
achievements,2023-09-21,2
achievements,2023-09-22,1
achievements,2023-09-24,1
achievements,2023-09-25,4
achievements,2023-09-26,1
achievements,2023-09-28,5
achievements,2023-09-29,2
achievements,2023-09-30,1
achievements,2023-10-02,7
achievements,2023-10-03,3
achievements,2023-10-05,1
achievements,2023-10-07,1
achievements,2023-10-08,2
achievements,2023-10-09,2
achievements,2023-10-10,4
achievements,2023-10-11,3
achievements,2023-10-12,4
achievements,2023-10-13,2
achievements,2023-10-14,29
achievements,2023-10-16,1
achievements,2023-10-18,4
achievements,2023-10-19,4
achievements,2023-10-20,16
achievements,2023-10-21,1
achievements,2023-10-22,2
achievements,2023-10-23,2
achievements,2023-10-25,1
achievements,2023-10-26,6
achievements,2023-10-27,5
achievements,2023-10-28,7
achievements,2023-10-29,3
achievements,2023-10-30,1
achievements,2023-11-03,6
achievements,2023-11-04,18
achievements,2023-11-05,13
achievements,2023-11-06,5
achievements,2023-11-08,6
achievements,2023-11-10,7
achievements,2023-11-11,6
achievements,2023-11-12,9
achievements,2023-11-13,2
achievements,2023-11-14,5
achievements,2023-11-16,6
achievements,2023-11-17,4
achievements,2023-11-18,5
achievements,2023-11-19,4
achievements,2023-11-20,4
achievements,2023-11-21,6
achievements,2023-11-22,3
achievements,2023-11-24,2
achievements,2023-11-25,6
achievements,2023-11-26,2
achievements,2023-11-27,1
achievements,2023-11-28,8
achievements,2023-11-29,2
achievements,2023-12-01,5
achievements,2023-12-02,5
achievements,2023-12-03,5
achievements,2023-12-04,2
achievements,2023-12-05,2
achievements,2023-12-06,2
achievements,2023-12-07,1
achievements,2023-12-08,1
achievements,2023-12-09,2
achievements,2023-12-10,1
achievements,2023-12-11,1
achievements,2023-12-14,8
achievements,2023-12-15,3
achievements,2023-12-18,11
achievements,2023-12-20,7
achievements,2023-12-23,1
achievements,2023-12-24,1
achievements,2023-12-26,2
achievements,2023-12-29,1
achievements,2023-12-30,3
achievements,2023-12-31,1
achievements,2024-01-02,5
achievements,2024-01-03,4
achievements,2024-01-04,4
achievements,2024-01-05,5
achievements,2024-01-06,2
achievements,2024-01-08,1
achievements,2024-01-09,4
achievements,2024-01-11,10
achievements,2024-01-12,6
achievements,2024-01-13,5
achievements,2024-01-14,5
achievements,2024-01-15,5
achievements,2024-01-16,1
achievements,2024-01-17,1
achievements,2024-01-18,4
achievements,2024-01-19,7
achievements,2024-01-20,7
achievements,2024-01-23,3
achievements,2024-01-24,1
achievements,2024-01-25,26
achievements,2024-01-26,2
achievements,2024-01-28,3
achievements,2024-01-29,6
achievements,2024-01-30,3
achievements,2024-01-31,3
achievements,2024-02-01,2
achievements,2024-02-03,2
achievements,2024-02-04,4
achievements,2024-02-07,5
achievements,2024-02-09,3
achievements,2024-02-13,4
achievements,2024-02-15,4
achievements,2024-02-16,8
achievements,2024-02-18,2
achievements,2024-02-19,1
achievements,2024-02-20,2
achievements,2024-02-23,3
achievements,2024-02-24,4
achievements,2024-02-25,2
achievements,2024-02-26,8
achievements,2024-02-28,3
achievements,2024-02-29,5
achievements,2024-03-01,1
achievements,2024-03-02,4
achievements,2024-03-04,7
achievements,2024-03-05,1
achievements,2024-03-06,4
achievements,2024-03-08,6
achievements,2024-03-09,3
achievements,2024-03-10,2
achievements,2024-03-11,3
achievements,2024-03-12,3
achievements,2024-03-13,4
achievements,2024-03-14,5
achievements,2024-03-15,5
achievements,2024-03-16,1
achievements,2024-03-17,4
achievements,2024-03-18,21
achievements,2024-03-19,11
achievements,2024-03-20,1
achievements,2024-03-21,1
achievements,2024-03-22,18
achievements,2024-03-23,2
achievements,2024-03-24,7
achievements,2024-03-25,5
achievements,2024-03-27,2
achievements,2024-03-28,2
achievements,2024-03-29,1
achievements,2024-03-30,2
achievements,2024-03-31,1
achievements,2024-04-01,1
achievements,2024-04-02,9
achievements,2024-04-03,40
achievements,2024-04-04,1
achievements,2024-04-05,1
achievements,2024-04-06,4
achievements,2024-04-07,5
achievements,2024-04-09,3
achievements,2024-04-12,1
achievements,2024-04-13,2
achievements,2024-04-14,7
achievements,2024-04-15,11
achievements,2024-04-16,6
achievements,2024-04-17,2
achievements,2024-04-18,4
achievements,2024-04-19,8
achievements,2024-04-20,4
achievements,2024-04-21,3
achievements,2024-04-22,7
achievements,2024-04-26,3
achievements,2024-04-27,11
achievements,2024-04-28,10
achievements,2024-04-29,6
achievements,2024-05-01,4
achievements,2024-05-02,12
achievements,2024-05-03,4
achievements,2024-05-05,1
achievements,2024-05-06,1
achievements,2024-05-07,3
achievements,2024-05-10,12
achievements,2024-05-11,6
achievements,2024-05-12,5
achievements,2024-05-13,2
achievements,2024-05-14,1
achievements,2024-05-15,2
achievements,2024-05-16,2
achievements,2024-05-18,8
achievements,2024-05-19,2
achievements,2024-05-20,1
achievements,2024-05-22,6
achievements,2024-05-23,1
achievements,2024-05-24,2
achievements,2024-05-25,1
achievements,2024-05-26,2
achievements,2024-05-28,1
achievements,2024-06-01,4
achievements,2024-06-02,14
achievements,2024-06-04,9
achievements,2024-06-07,5
achievements,2024-06-09,1
achievements,2024-06-10,2
achievements,2024-06-11,6
achievements,2024-06-13,4
achievements,2024-06-14,2
achievements,2024-06-15,6
achievements,2024-06-16,1
achievements,2024-06-17,2
achievements,2024-06-18,9
achievements,2024-06-19,2
achievements,2024-06-20,2
achievements,2024-06-22,6
achievements,2024-06-23,24
achievements,2024-06-24,8
