parent_channel,year_month,message_count
cooking-guild,2021-09,17
cooking-guild,2021-10,61
cooking-guild,2021-11,20
cooking-guild,2021-12,83
cooking-guild,2022-01,73
cooking-guild,2022-02,30
cooking-guild,2022-03,56
cooking-guild,2022-04,5
cooking-guild,2022-05,16
cooking-guild,2022-06,63
cooking-guild,2022-07,17
cooking-guild,2022-08,9
cooking-guild,2022-09,4
cooking-guild,2022-10,17
cooking-guild,2022-11,37
cooking-guild,2022-12,8
cooking-guild,2023-01,14
cooking-guild,2023-02,232
cooking-guild,2023-03,219
cooking-guild,2023-04,109
cooking-guild,2023-05,50
cooking-guild,2023-06,137
cooking-guild,2023-07,84
cooking-guild,2023-08,53
cooking-guild,2023-09,43
cooking-guild,2023-10,121
cooking-guild,2023-11,226
cooking-guild,2023-12,122
cooking-guild,2024-01,97
cooking-guild,2024-02,70
cooking-guild,2024-03,97
cooking-guild,2024-04,27
cooking-guild,2024-05,39
cooking-guild,2024-06,101
cooking-guild,2024-07,50
cooking-guild,2024-08,36
cooking-guild,2024-09,48
cooking-guild,2024-10,17
cooking-guild,2024-11,32
cooking-guild,2024-12,12
cooking-guild,2025-01,4
cooking-guild,2025-02,3
cooking-guild,2025-03,13
cooking-guild,2025-04,20
cooking-guild,2025-05,6
cooking-guild,2025-06,10
cooking-guild,2025-07,8
cooking-guild,2025-08,59
cooking-guild,2025-09,46
cooking-guild,2025-10,36
cooking-guild,2025-11,56
cooking-guild,2025-12,40
cooking-guild,2026-01,74
cooking-guild,2026-02,67
cooking-guild,2026-03,102
cooking-guild,2026-04,43
cooking-guild,2026-05,21
cooking-guild,2026-06,29
cooking-guild,2026-07,7
cox-resources,2021-06,12
cox-resources,2021-07,3
cox-resources,2021-09,1
cox-resources,2021-10,3
cursed-liberal-content,2020-10,135
cursed-liberal-content,2020-11,137
cursed-liberal-content,2020-12,119
cursed-liberal-content,2021-01,960
cursed-liberal-content,2021-02,685
cursed-liberal-content,2021-03,237
cursed-liberal-content,2021-04,484
cursed-liberal-content,2021-05,335
cursed-liberal-content,2021-06,439
cursed-liberal-content,2021-07,302
cursed-liberal-content,2021-08,251
cursed-liberal-content,2021-09,384
cursed-liberal-content,2021-10,311
cursed-liberal-content,2021-11,180
cursed-liberal-content,2021-12,245
cursed-liberal-content,2022-01,198
cursed-liberal-content,2022-02,264
cursed-liberal-content,2022-03,260
cursed-liberal-content,2022-04,113
cursed-liberal-content,2022-05,251
cursed-liberal-content,2022-06,223
cursed-liberal-content,2022-07,150
cursed-liberal-content,2022-08,112
cursed-liberal-content,2022-09,117
cursed-liberal-content,2022-10,142
cursed-liberal-content,2022-11,138
cursed-liberal-content,2022-12,164
cursed-liberal-content,2023-01,172
cursed-liberal-content,2023-02,498
cursed-liberal-content,2023-03,411
cursed-liberal-content,2023-04,251
cursed-liberal-content,2023-05,244
cursed-liberal-content,2023-06,305
cursed-liberal-content,2023-07,283
cursed-liberal-content,2023-08,182
cursed-liberal-content,2023-09,241
cursed-liberal-content,2023-10,264
cursed-liberal-content,2023-11,223
cursed-liberal-content,2023-12,157
cursed-liberal-content,2024-01,192
cursed-liberal-content,2024-02,107
cursed-liberal-content,2024-03,422
cursed-liberal-content,2024-04,183
cursed-liberal-content,2024-05,135
cursed-liberal-content,2024-06,124
cursed-liberal-content,2024-07,159
cursed-liberal-content,2024-08,81
cursed-liberal-content,2024-09,132
cursed-liberal-content,2024-10,115
cursed-liberal-content,2024-11,113
cursed-liberal-content,2024-12,238
cursed-liberal-content,2025-01,169
cursed-liberal-content,2025-02,74
cursed-liberal-content,2025-03,109
cursed-liberal-content,2025-04,198
cursed-liberal-content,2025-05,72
cursed-liberal-content,2025-06,336
cursed-liberal-content,2025-07,413
cursed-liberal-content,2025-08,110
cursed-liberal-content,2025-09,205
cursed-liberal-content,2025-10,501
cursed-liberal-content,2025-11,362
cursed-liberal-content,2025-12,822
cursed-liberal-content,2026-01,457
cursed-liberal-content,2026-02,190
cursed-liberal-content,2026-03,136
cursed-liberal-content,2026-04,71
cursed-liberal-content,2026-05,73
cursed-liberal-content,2026-06,108
cursed-liberal-content,2026-07,171
dank-tank,2021-01,103
dank-tank,2021-02,35
dank-tank,2021-03,87
dank-tank,2021-04,155
dank-tank,2021-05,36
dank-tank,2021-06,41
dank-tank,2021-07,46
dank-tank,2021-08,18
dank-tank,2021-09,62
dank-tank,2021-10,33
dank-tank,2021-11,21
dank-tank,2021-12,29
dank-tank,2022-01,59
dank-tank,2022-02,18
dank-tank,2022-03,60
dank-tank,2022-04,13
dank-tank,2022-05,4
dank-tank,2022-06,18
dank-tank,2022-07,9
dank-tank,2022-08,21
dank-tank,2022-09,2
dank-tank,2022-10,13
dank-tank,2022-11,21
dank-tank,2022-12,13
dank-tank,2023-01,132
dank-tank,2023-02,81
dank-tank,2023-03,72
dank-tank,2023-04,61
dank-tank,2023-05,18
dank-tank,2023-06,19
dank-tank,2023-07,17
dank-tank,2023-08,3
dank-tank,2023-09,19
dank-tank,2023-10,12
dank-tank,2023-11,30
dank-tank,2023-12,20
dank-tank,2024-01,10
dank-tank,2024-02,4
dank-tank,2024-03,2
dank-tank,2024-04,45
dank-tank,2024-06,13
dank-tank,2024-07,7
dank-tank,2024-08,20
dank-tank,2024-09,4
dank-tank,2024-10,17
dank-tank,2024-11,6
dank-tank,2025-01,3
dank-tank,2025-02,15
dank-tank,2025-03,16
dank-tank,2025-04,13
dank-tank,2025-05,30
dank-tank,2025-06,4
dank-tank,2025-07,2
dank-tank,2025-08,4
dank-tank,2025-09,10
dank-tank,2025-10,18
dank-tank,2025-11,90
dank-tank,2025-12,9
dank-tank,2026-01,32
dank-tank,2026-02,1
dank-tank,2026-03,17
dank-tank,2026-04,33
dank-tank,2026-05,36
dank-tank,2026-06,10
dank-tank,2026-07,11
edgeville,2020-09,8
edgeville,2020-10,525
edgeville,2020-11,85
edgeville,2020-12,317
edgeville,2021-01,450
edgeville,2021-02,547
edgeville,2021-03,548
edgeville,2021-04,649
edgeville,2021-05,373
edgeville,2021-06,995
edgeville,2021-07,1126
edgeville,2021-08,825
edgeville,2021-09,1094
edgeville,2021-10,1307
edgeville,2021-11,794
edgeville,2021-12,1030
edgeville,2022-01,437
edgeville,2022-02,291
edgeville,2022-03,370
edgeville,2022-04,233
edgeville,2022-05,248
edgeville,2022-06,298
edgeville,2022-07,236
edgeville,2022-08,185
edgeville,2022-09,327
edgeville,2022-10,580
edgeville,2022-11,573
edgeville,2022-12,479
edgeville,2023-01,902
edgeville,2023-02,1317
edgeville,2023-03,1144
edgeville,2023-04,1512
edgeville,2023-05,329
edgeville,2023-06,531
edgeville,2023-07,531
edgeville,2023-08,640
edgeville,2023-09,1356
edgeville,2023-10,599
edgeville,2023-11,617
edgeville,2023-12,418
edgeville,2024-01,620
edgeville,2024-02,644
edgeville,2024-03,864
edgeville,2024-04,619
edgeville,2024-05,565
edgeville,2024-06,867
edgeville,2024-07,690
edgeville,2024-08,551
edgeville,2024-09,643
edgeville,2024-10,409
edgeville,2024-11,419
edgeville,2024-12,192
edgeville,2025-01,242
edgeville,2025-02,533
edgeville,2025-03,801
edgeville,2025-04,530
edgeville,2025-05,423
edgeville,2025-06,430
edgeville,2025-07,174
edgeville,2025-08,285
edgeville,2025-09,595
edgeville,2025-10,754
edgeville,2025-11,1396
edgeville,2025-12,1276
edgeville,2026-01,924
edgeville,2026-02,1302
edgeville,2026-03,658
edgeville,2026-04,400
edgeville,2026-05,769
edgeville,2026-06,1183
edgeville,2026-07,525
events,2020-09,7
events,2020-10,256
events,2020-11,375
events,2020-12,443
events,2021-01,277
events,2021-02,290
events,2021-03,190
events,2021-04,146
events,2021-05,241
events,2021-06,271
events,2021-07,74
events,2021-08,20
events,2021-09,219
events,2021-10,266
events,2021-11,101
events,2021-12,97
events,2022-01,94
events,2022-02,93
events,2022-03,172
events,2022-04,200
events,2022-05,87
events,2022-06,187
events,2022-07,260
events,2022-08,171
events,2022-09,140
events,2022-10,230
events,2022-11,127
events,2022-12,212
events,2023-01,146
events,2023-02,350
events,2023-03,145
events,2023-04,154
events,2023-05,205
events,2023-06,115
events,2023-07,116
events,2023-08,120
events,2023-09,135
events,2023-10,158
events,2023-11,87
events,2023-12,26
events,2024-01,137
events,2024-02,47
events,2024-03,158
events,2024-04,97
events,2024-05,108
events,2024-06,73
events,2024-07,145
events,2024-08,167
events,2024-09,80
events,2024-10,50
events,2024-11,91
events,2024-12,7
events,2025-01,19
events,2025-02,90
events,2025-03,225
events,2025-04,179
events,2025-05,97
events,2025-06,147
events,2025-07,45
events,2025-08,102
events,2025-09,114
events,2025-10,142
events,2025-11,74
events,2025-12,59
events,2026-01,231
events,2026-02,146
events,2026-03,175
events,2026-04,144
events,2026-05,99
events,2026-06,192
events,2026-07,46
fashionscape,2020-10,29
fashionscape,2020-11,62
fashionscape,2020-12,111
fashionscape,2021-01,301
fashionscape,2021-02,120
fashionscape,2021-03,142
fashionscape,2021-04,455
fashionscape,2021-05,184
fashionscape,2021-06,183
fashionscape,2021-07,42
fashionscape,2021-08,13
fashionscape,2021-09,16
fashionscape,2021-10,43
fashionscape,2021-11,19
fashionscape,2021-12,16
fashionscape,2022-01,24
fashionscape,2022-02,35
fashionscape,2022-03,17
fashionscape,2022-04,30
fashionscape,2022-05,30
fashionscape,2022-06,14
fashionscape,2022-07,10
fashionscape,2022-08,3
fashionscape,2022-10,24
fashionscape,2022-12,51
fashionscape,2023-01,36
fashionscape,2023-02,35
fashionscape,2023-03,8
fashionscape,2023-04,65
fashionscape,2023-05,19
fashionscape,2023-06,14
fashionscape,2023-07,12
fashionscape,2023-08,3
fashionscape,2023-09,18
fashionscape,2023-10,34
fashionscape,2023-11,2
fashionscape,2023-12,18
fashionscape,2024-01,7
fashionscape,2024-02,4
fashionscape,2024-03,11
fashionscape,2024-04,6
fashionscape,2024-05,3
fashionscape,2024-06,7
fashionscape,2024-07,4
fashionscape,2024-08,11
fashionscape,2024-10,5
fashionscape,2024-11,1
fashionscape,2024-12,3
fashionscape,2025-01,7
fashionscape,2025-02,14
fashionscape,2025-03,9
fashionscape,2025-04,12
fashionscape,2025-05,11
fashionscape,2025-06,3
fashionscape,2025-08,9
fashionscape,2025-09,1
fashionscape,2025-10,9
fashionscape,2025-11,29
fashionscape,2025-12,8
fashionscape,2026-01,11
fashionscape,2026-02,6
fashionscape,2026-03,42
fashionscape,2026-04,9
fashionscape,2026-05,4
fashionscape,2026-06,29
general,2020-09,258
general,2020-10,2214
general,2020-11,809
general,2020-12,1171
general,2021-01,1051
general,2021-02,1143
general,2021-03,1916
general,2021-04,1585
general,2021-05,1087
general,2021-06,1072
general,2021-07,1004
general,2021-08,753
general,2021-09,1026
general,2021-10,1213
general,2021-11,1257
general,2021-12,1538
general,2022-01,1065
general,2022-02,702
general,2022-03,1217
general,2022-04,319
general,2022-05,674
general,2022-06,744
general,2022-07,641
general,2022-08,637
general,2022-09,540
general,2022-10,795
general,2022-11,888
general,2022-12,813
general,2023-01,758
general,2023-02,987
general,2023-03,1358
general,2023-04,1139
general,2023-05,770
general,2023-06,1068
general,2023-07,770
general,2023-08,627
general,2023-09,881
general,2023-10,1585
general,2023-11,1460
general,2023-12,814
general,2024-01,1235
general,2024-02,614
general,2024-03,682
general,2024-04,837
general,2024-05,1461
general,2024-06,1170
general,2024-07,1161
general,2024-08,739
general,2024-09,690
general,2024-10,643
general,2024-11,746
general,2024-12,349
general,2025-01,544
general,2025-02,521
general,2025-03,536
general,2025-04,698
general,2025-05,586
general,2025-06,1078
general,2025-07,615
general,2025-08,545
general,2025-09,786
general,2025-10,922
general,2025-11,694
general,2025-12,1272
general,2026-01,802
general,2026-02,850
general,2026-03,482
general,2026-04,341
general,2026-05,314
general,2026-06,1019
general,2026-07,663
general-leftist-stuff,2020-09,48
general-leftist-stuff,2020-10,416
general-leftist-stuff,2020-11,148
general-leftist-stuff,2020-12,246
general-leftist-stuff,2021-01,511
general-leftist-stuff,2021-02,373
general-leftist-stuff,2021-03,338
general-leftist-stuff,2021-04,478
general-leftist-stuff,2021-05,400
general-leftist-stuff,2021-06,374
general-leftist-stuff,2021-07,417
general-leftist-stuff,2021-08,230
general-leftist-stuff,2021-09,283
general-leftist-stuff,2021-10,163
general-leftist-stuff,2021-11,184
general-leftist-stuff,2021-12,555
general-leftist-stuff,2022-01,98
general-leftist-stuff,2022-02,214
general-leftist-stuff,2022-03,207
general-leftist-stuff,2022-04,173
general-leftist-stuff,2022-05,243
general-leftist-stuff,2022-06,305
general-leftist-stuff,2022-07,191
general-leftist-stuff,2022-08,99
general-leftist-stuff,2022-09,90
general-leftist-stuff,2022-10,40
general-leftist-stuff,2022-11,120
general-leftist-stuff,2022-12,125
general-leftist-stuff,2023-01,180
general-leftist-stuff,2023-02,627
general-leftist-stuff,2023-03,3175
general-leftist-stuff,2023-04,633
general-leftist-stuff,2023-05,153
general-leftist-stuff,2023-06,207
general-leftist-stuff,2023-07,340
general-leftist-stuff,2023-08,96
general-leftist-stuff,2023-09,100
general-leftist-stuff,2023-10,381
general-leftist-stuff,2023-11,167
general-leftist-stuff,2023-12,66
general-leftist-stuff,2024-01,78
general-leftist-stuff,2024-02,250
general-leftist-stuff,2024-03,74
general-leftist-stuff,2024-04,48
general-leftist-stuff,2024-05,148
general-leftist-stuff,2024-06,195
general-leftist-stuff,2024-07,598
general-leftist-stuff,2024-08,606
general-leftist-stuff,2024-09,194
general-leftist-stuff,2024-10,228
general-leftist-stuff,2024-11,126
general-leftist-stuff,2024-12,335
general-leftist-stuff,2025-01,175
general-leftist-stuff,2025-02,188
general-leftist-stuff,2025-03,121
general-leftist-stuff,2025-04,234
general-leftist-stuff,2025-05,155
general-leftist-stuff,2025-06,1612
general-leftist-stuff,2025-07,156
general-leftist-stuff,2025-08,169
general-leftist-stuff,2025-09,461
general-leftist-stuff,2025-10,299
general-leftist-stuff,2025-11,453
general-leftist-stuff,2025-12,265
general-leftist-stuff,2026-01,1303
general-leftist-stuff,2026-02,196
general-leftist-stuff,2026-03,400
general-leftist-stuff,2026-04,209
general-leftist-stuff,2026-05,102
general-leftist-stuff,2026-06,375
general-leftist-stuff,2026-07,210
good-news,2026-03,61
good-news,2026-04,86
good-news,2026-05,17
good-news,2026-06,33
good-news,2026-07,20
guide-of-blood,2021-02,44
guide-of-blood,2021-06,1
guide-of-blood,2021-10,1
guide-of-blood,2021-11,1
head-pats,2020-12,90
head-pats,2021-01,64
head-pats,2021-02,100
head-pats,2021-03,122
head-pats,2021-04,124
head-pats,2021-05,80
head-pats,2021-06,92
head-pats,2021-07,88
head-pats,2021-08,56
head-pats,2021-09,100
head-pats,2021-10,116
head-pats,2021-11,103
head-pats,2021-12,181
head-pats,2022-01,111
head-pats,2022-02,71
head-pats,2022-03,145
head-pats,2022-04,6
head-pats,2022-05,39
head-pats,2022-06,28
head-pats,2022-07,26
head-pats,2022-08,29
head-pats,2022-09,10
head-pats,2022-10,27
head-pats,2022-11,23
head-pats,2022-12,46
head-pats,2023-01,49
head-pats,2023-02,105
head-pats,2023-03,36
head-pats,2023-04,62
head-pats,2023-05,68
head-pats,2023-06,76
head-pats,2023-07,63
head-pats,2023-08,48
head-pats,2023-09,28
head-pats,2023-10,41
head-pats,2023-11,70
head-pats,2023-12,30
head-pats,2024-01,41
head-pats,2024-02,151
head-pats,2024-03,59
head-pats,2024-04,32
head-pats,2024-05,19
head-pats,2024-06,46
head-pats,2024-07,69
head-pats,2024-08,29
head-pats,2024-09,19
head-pats,2024-10,12
head-pats,2024-11,12
head-pats,2024-12,32
head-pats,2025-01,10
head-pats,2025-02,10
head-pats,2025-03,44
head-pats,2025-04,37
head-pats,2025-05,10
head-pats,2025-06,41
head-pats,2025-07,40
head-pats,2025-08,21
head-pats,2025-09,45
head-pats,2025-10,61
head-pats,2025-11,35
head-pats,2025-12,47
head-pats,2026-01,21
head-pats,2026-02,34
head-pats,2026-03,39
head-pats,2026-04,30
head-pats,2026-05,20
head-pats,2026-06,37
head-pats,2026-07,27
irl-fashionscape,2021-06,22
irl-fashionscape,2021-07,71
irl-fashionscape,2021-08,71
irl-fashionscape,2021-09,107
irl-fashionscape,2021-10,145
irl-fashionscape,2021-11,63
irl-fashionscape,2021-12,191
irl-fashionscape,2022-01,203
irl-fashionscape,2022-02,69
irl-fashionscape,2022-03,67
irl-fashionscape,2022-04,14
irl-fashionscape,2022-05,28
irl-fashionscape,2022-06,25
irl-fashionscape,2022-07,25
irl-fashionscape,2022-08,11
irl-fashionscape,2022-09,9
irl-fashionscape,2022-10,17
irl-fashionscape,2022-11,40
irl-fashionscape,2022-12,52
irl-fashionscape,2023-01,67
irl-fashionscape,2023-02,123
irl-fashionscape,2023-03,46
irl-fashionscape,2023-04,14
irl-fashionscape,2023-05,75
irl-fashionscape,2023-06,28
irl-fashionscape,2023-07,23
irl-fashionscape,2023-08,34
irl-fashionscape,2023-09,25
irl-fashionscape,2023-10,51
irl-fashionscape,2023-11,49
irl-fashionscape,2023-12,20
irl-fashionscape,2024-01,45
irl-fashionscape,2024-02,65
irl-fashionscape,2024-03,45
irl-fashionscape,2024-04,24
irl-fashionscape,2024-05,14
irl-fashionscape,2024-06,7
irl-fashionscape,2024-07,5
irl-fashionscape,2024-08,2
irl-fashionscape,2024-09,6
irl-fashionscape,2024-10,10
irl-fashionscape,2024-11,5
irl-fashionscape,2024-12,13
irl-fashionscape,2025-01,11
irl-fashionscape,2025-02,8
irl-fashionscape,2025-03,29
irl-fashionscape,2025-04,16
irl-fashionscape,2025-05,46
irl-fashionscape,2025-06,17
irl-fashionscape,2025-07,18
irl-fashionscape,2025-08,2
irl-fashionscape,2025-09,17
irl-fashionscape,2025-10,4
irl-fashionscape,2025-12,13
irl-fashionscape,2026-01,3
irl-fashionscape,2026-02,13
irl-fashionscape,2026-03,12
irl-fashionscape,2026-04,15
irl-fashionscape,2026-05,13
irl-fashionscape,2026-06,11
irl-fashionscape,2026-07,2
join-portal,2026-03,66
join-portal,2026-04,58
join-portal,2026-05,47
join-portal,2026-06,32
join-portal,2026-07,16
leftscape-library,2020-12,75
leftscape-library,2021-01,285
leftscape-library,2021-02,116
leftscape-library,2021-03,130
leftscape-library,2021-04,75
leftscape-library,2021-05,68
leftscape-library,2021-06,71
leftscape-library,2021-07,43
leftscape-library,2021-08,26
leftscape-library,2021-09,7
leftscape-library,2021-10,19
leftscape-library,2021-11,30
leftscape-library,2021-12,18
leftscape-library,2022-01,29
leftscape-library,2022-02,13
leftscape-library,2022-03,40
leftscape-library,2022-04,20
leftscape-library,2022-05,56
leftscape-library,2022-06,27
leftscape-library,2022-07,7
leftscape-library,2022-08,1
leftscape-library,2022-09,35
leftscape-library,2022-10,1
leftscape-library,2022-11,3
leftscape-library,2022-12,9
leftscape-library,2023-01,2
leftscape-library,2023-03,16
leftscape-library,2023-04,2
leftscape-library,2023-05,10
leftscape-library,2023-06,3
leftscape-library,2023-07,38
leftscape-library,2023-09,2
leftscape-library,2023-11,2
leftscape-library,2023-12,1
leftscape-library,2024-01,7
leftscape-library,2024-02,2
leftscape-library,2024-03,2
leftscape-library,2024-04,4
leftscape-library,2024-07,11
leftscape-library,2024-08,9
leftscape-library,2024-11,1
leftscape-library,2025-01,40
leftscape-library,2025-05,2
leftscape-library,2025-09,3
leftscape-library,2025-10,1
looking-for-group,2021-06,66
looking-for-group,2021-07,255
looking-for-group,2021-08,119
looking-for-group,2021-09,318
looking-for-group,2021-10,199
looking-for-group,2021-11,359
looking-for-group,2021-12,1004
looking-for-group,2022-01,650
looking-for-group,2022-02,111
looking-for-group,2022-03,212
looking-for-group,2022-04,154
looking-for-group,2022-05,63
looking-for-group,2022-06,195
looking-for-group,2022-07,39
looking-for-group,2022-08,162
looking-for-group,2022-09,34
looking-for-group,2022-10,15
looking-for-group,2022-11,205
looking-for-group,2022-12,239
looking-for-group,2023-01,111
looking-for-group,2023-02,141
looking-for-group,2023-03,144
looking-for-group,2023-04,139
looking-for-group,2023-05,241
looking-for-group,2023-06,83
looking-for-group,2023-07,110
looking-for-group,2023-08,59
looking-for-group,2023-09,77
looking-for-group,2023-10,56
looking-for-group,2023-11,87
looking-for-group,2023-12,134
looking-for-group,2024-01,171
looking-for-group,2024-02,56
looking-for-group,2024-03,157
looking-for-group,2024-04,75
looking-for-group,2024-05,100
looking-for-group,2024-06,102
looking-for-group,2024-07,25
looking-for-group,2024-08,177
looking-for-group,2024-09,29
looking-for-group,2024-10,122
looking-for-group,2024-11,108
looking-for-group,2024-12,62
looking-for-group,2025-01,50
looking-for-group,2025-02,57
looking-for-group,2025-03,223
